"","date","ï..","species","bands","sx","sy","time","month","year","slope","pres","PlotName","gr","fire","burnyr","Spring","BrLagOne","BrLagTwo","mgmt","elev","soil","obs","HT","LG","LF","BG","DG","DistToShrubs","DistToTrees","PropShrubs","PropTrees"
"1",2019-05-13,28,"DICK","DS-DW",711334,4330259,1868,5,2019,0.106679558629453,1,"K1B","ungr","1","1",222.8,238,324.3,"ungr1",417.117034912109,"4530",0,2.19692677551255,0.377107443856561,0.159421353663267,0.437066447519197,0.039255257475666,0.0178604537669841,0.121541364732222,0.0143266475644699,0
"2",2019-05-14,37,"DICK","GB-SG",712698,4332542,1869,5,2019,0.0549513638865894,1,"C3SC","cattle","3","0",222.8,238,324.3,"cattle3",420.697021484375,"4673",0,2.35604114330983,0.285411594084372,0.253858305557723,0.203634433831259,0.10707593693289,0.027228532030611,0.0858833741433446,0.0112834978843441,0
"3",2019-05-20,118,"DICK","SK-KR",711805,4329709,1875,5,2019,0.138010921373341,1,"C3B","cattle","3","0",222.8,238,324.3,"cattle3",436.497009277344,"4530",0,2.29967005129877,0.227803634625347,0.182404112659185,0.291310318805638,0.122181083569714,0.0234773166425001,0.0731176460088964,0.0209497206703911,0
"4",2019-05-20,69,"DICK","RK-DS",711805,4329709,1875,5,2019,0.138010921373341,1,"C3B","cattle","3","0",222.8,238,324.3,"cattle3",436.497009277344,"4530",0,2.29967005129877,0.227803634625347,0.182404112659185,0.291310318805638,0.122181083569714,0.0234773166425001,0.0731176460088964,0.0209497206703911,0
"5",2019-05-28,3,"DICK","AB-KS",709982,4328972,1883,5,2019,0.144510533389493,1,"N1B","bison","1","1",222.8,238,324.3,"bison1",408.685028076172,"4530",0,2.21096138846379,0.173137902525318,0.256112769163852,0.465261136547059,0.0576387310474415,0.00882014604640024,0.0420731514973411,0.0493653032440056,0
"6",2019-05-28,70,"DICK","RO-SB",709931,4329102,1883,5,2019,0.0813072698153056,1,"N1B","bison","1","1",222.8,238,324.3,"bison1",410.550018310547,"4530",0,1.97233569096881,0.1824575453394,0.27072355792105,0.467760330321435,0.0571626369349744,0.0150106429598724,0.0275624697910552,0.0157593123209169,0.00143266475644699
"7",2019-05-28,128,"DICK","SR-GB",710020,4328916,1883,5,2019,0.128099163401149,1,"N1B","bison","1","1",222.8,238,324.3,"bison1",406.703033447266,"4530",0,2.29914420320706,0.170298502902556,0.255268810996047,0.459289863265099,0.0578642033234726,0.00417896365872959,0.0464786169590752,0.31311706629055,0
"8",2019-05-28,117,"DICK","SK-AB",710124,4328919,1883,5,2019,0.0575014498203252,1,"N1B","bison","1","1",222.8,238,324.3,"bison1",412.152008056641,"4530",0,2.12690053884359,0.17289778326092,0.265820242333879,0.448626474119226,0.059333186350922,0.00678630766424118,0.0867235705704778,0.0744985673352436,0
"9",2019-05-29,56,"DICK","KS-OB",708152,4329912,1884,5,2019,0.132634102495839,1,"N1A","bison","1","1",222.8,238,324.3,"bison1",384.368011474609,"4590",0,2.1648789811708,0.164471782052606,0.244974458077324,0.587800884307918,0.0412073736588914,0.0260758770929258,0.0440423665922897,0,0
"10",2019-05-29,65,"DICK","OS-RA",708152,4329912,1884,5,2019,0.132634102495839,1,"N1A","bison","1","1",222.8,238,324.3,"bison1",384.368011474609,"4590",0,2.1648789811708,0.164471782052606,0.244974458077324,0.587800884307918,0.0412073736588914,0.0260758770929258,0.0440423665922897,0,0
